identificador_interno,expediente,fecha_presentacion,tipo,titulo_proyecto,titulo_oficial,resumen,area_tematica,autoria_sistema,firmantes_verificados,noticia_ya_existente,id_noticia_existente,id_noticia_publicada,titulo_periodistico_propuesto,bajada_propuesta,imagen_propuesta,fuente_imagen,url_proyecto,url_expediente,estado_generacion,estado_publicacion,observaciones
EXP-19788,19788,2026-04-08,Proyecto de Ley,Protección del salario frente a débitos automáticos,Crea el Régimen de Protección de la Disponibilidad de Haberes Acreditados en Cuentas Vinculadas al Pago de Prestaciones frente a Débitos Automáticos de Tarjeta de Crédito.,"Propone protección del salario frente a débitos automáticos. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Trabajo,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-04-07-proteccion-salarial-y-apid,2026-04-07-proteccion-salarial-y-apid,Impulsan proteger los salarios frente a débitos bancarios automáticos,El proyecto propone límites y mecanismos de resguardo para evitar que débitos automáticos y descuentos comprometan la disponibilidad del ingreso salarial.,/assets/uploads/project-news/2026-04-08-19788-proteccion-salario.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19788/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19788.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
EXP-19789,19789,2026-04-08,Proyecto de Ley,Asignación Provincial de Incentivo Docente,Asignación Provincial de Incentivo Docente y Garantías de Transparencia y Tutela Salarial Docente.,"Propone asignación Provincial de Incentivo Docente. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-08-incentivo-docente-provincial,Proponen crear una asignación provincial de incentivo docente,La iniciativa plantea un complemento salarial provincial para sostener el ingreso de las y los docentes y reconocer su tarea en el sistema educativo correntino.,/assets/uploads/project-news/2026-04-08-19789-incentivo-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19789/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19789.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19793,19793,2026-04-08,Proyecto de Resolución,Antecedentes meritorios en la valoración docente,"Insta al Poder Ejecutivo, a través del Ministerio de Educación y de los organismos competentes en materia de clasificación docente, evalúe e incorpore la categoría de “Antecedentes Meritorios Institucionales” en el régimen de valoración de títulos y antecedentes docentes.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con antecedentes meritorios en la valoración docente. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-08-antecedentes-meritorios-docentes,Buscan reconocer antecedentes meritorios en la valoración docente,"La propuesta incorpora tareas pedagógicas, científicas, culturales y comunitarias al régimen de valoración, incluido el acompañamiento de cooperativas escolares.",/assets/uploads/project-news/2026-04-08-19793-valoracion-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19793/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19793-1.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19831,19831,2026-04-15,Proyecto de Resolución,Continuidad de lotes con servicios en Goya,"Solicita al Poder Ejecutivo, que por intermedio del Instituto de Vivienda de Corrientes (INVICO), adopte medidas respecto del predio correspondiente al desarrollo de 180 lotes con servicios, del ex Programa Procrear en la ciudad de Goya.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con continuidad de lotes con servicios en Goya. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-lotes-servicios-goya,Solicitan dar continuidad al programa de lotes con servicios en Goya,"El proyecto pide medidas para sostener una política de acceso al suelo urbano con infraestructura básica, destinada a familias de la ciudad de Goya.",/assets/uploads/project-news/2026-04-15-19831-lotes-servicios-goya.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19831/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19831-1.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19832,19832,2026-04-15,Proyecto de Ley,Transparencia informativa en carteles de obra pública,Modifica la ley 3079 – Régimen de Transparencia Informativa Mínima en Carteles de Obra Pública Provincial.,"Propone transparencia informativa en carteles de obra pública. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-transparencia-carteles-obra-publica,Proponen más transparencia en los carteles de obra pública,"La iniciativa establece información mínima y accesible en la cartelería de obras provinciales para que la ciudadanía conozca plazos, responsables y presupuesto.",/assets/uploads/project-news/2026-04-15-19832-carteles-obra-publica.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19832/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19832-1.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19833,19833,2026-04-15,Proyecto de Declaración,Estudio para mejorar la seguridad de la Ruta Provincial 27,"De interés el trabajo final de la carrera de Ingeniería Civil de la Universidad Nacional del Nordeste, titulado “Rehabilitación y mejoras de seguridad de la RP Nº 27, tramo: Santa Lucía – Goya”, elaborado por los ingenieros Alan Billordo Ciocchi, Ángel José Cuzziol y Ariana Rey.","Declara de interés legislativo estudio para mejorar la seguridad de la Ruta Provincial 27. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Infraestructura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-estudio-ruta-27-unne,Impulsan un estudio integral para mejorar la seguridad de la Ruta 27,La declaración reconoce un trabajo final de Ingeniería Civil de la UNNE que analiza alternativas de rehabilitación para el tramo Santa Lucía–Goya.,/assets/uploads/project-news/2026-04-15-19833-estudio-seguridad-ruta-27.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19833/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19833.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19834,19834,2026-04-15,Proyecto de Declaración,Proyecto Cultural Mendoza,"De interés el Proyecto Cultural “Mendoza”, revista mensual dedicada a la difusión del patrimonio histórico, literario y cultural de la provincia de Corrientes.","Declara de interés legislativo proyecto Cultural Mendoza. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Cultura,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-proyecto-cultural-mendoza,Proponen reconocer el aporte comunitario del Proyecto Cultural Mendoza,"La declaración busca destacar una revista mensual dedicada a difundir la historia, la literatura y el patrimonio cultural de la provincia de Corrientes.",/assets/uploads/project-news/2026-04-15-19834-proyecto-cultural-mendoza.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19834/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19834.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19835,19835,2026-04-15,Proyecto de Declaración,Homenaje al veterano de Malvinas Roque Zabala,"De profundo pesar por el fallecimiento del veterano de la Guerra de Malvinas, Roque Zabala, vecino de la ciudad de Goya.","Declara de interés legislativo homenaje al veterano de Malvinas Roque Zabala. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Derechos Humanos,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-homenaje-roque-zabala,Proponen homenajear al veterano de Malvinas Roque Zabala,La iniciativa expresa el pesar por su fallecimiento y reconoce una trayectoria dedicada a la memoria de Malvinas y a los derechos de los excombatientes.,/assets/uploads/project-news/2026-04-15-19835-homenaje-roque-zabala.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19835/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19835.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19840,19840,2026-04-15,Proyecto de Resolución,Informe sobre fondos del Decreto 369/26 para escuelas,"Solicita al Poder Ejecutivo, informe sobre la asignación, distribución, ejecución y rendición de los fondos dispuestos por el decreto 369/26, destinado al mantenimiento de edificios escolares en municipios del interior de la Provincia.","Solicita al Poder Ejecutivo provincial información oficial sobre informe sobre fondos del Decreto 369/26 para escuelas. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-15-informe-fondos-escuelas,Piden informes sobre fondos destinados a infraestructura escolar,La resolución solicita precisiones sobre la asignación y ejecución de recursos previstos para reparaciones y mejoras en establecimientos educativos provinciales.,/assets/uploads/project-news/2026-04-15-19840-fondos-infraestructura-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19840/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19840-1.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19841,19841,2026-04-15,Proyecto de Ley,Reforma y normalización del IOSCOR,"Reforma, Modernización y Normalización de IOSCOR.","Propone reforma y normalización del IOSCOR. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,true,2026-04-13-reforma-integral-ioscor-proyecto-diputados,2026-04-13-reforma-integral-ioscor-proyecto-diputados,Cecilia Gortari impulsa una reforma integral del IOSCOR,"El proyecto propone modernizar la obra social provincial, fortalecer su transparencia y ampliar herramientas de protección para afiliados y prestadores.",/assets/uploads/project-news/2026-04-15-19841-reforma-ioscor.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19841/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19841.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación existente actualizada y conservada con su ID.
P-0067,,2026-04-22,Proyecto de Declaración,Declaración de interés: Actividad por el día de la tierra,,,Educación,propio,,false,,,Proponen declarar de interés una actividad por el Día de la Tierra,El registro del sistema identifica una iniciativa ambiental presentada el 22 de abril; su expediente y sus firmantes permanecen pendientes de verificación documental.,Earth Day nature conservation,,,,pendiente_verificacion_documental,no_publicado,Sin expediente ni fuente oficial verificable; no publicar hasta completar el dato.
EXP-19881,19881,2026-04-29,Proyecto de Resolución,Transferencias nacionales para bomberos voluntarios,"Solicita al Poder Ejecutivo Nacional que, por intermedio del Ministerio de Seguridad de la Nación, disponga la regularización, normalización y efectiva transferencia de los recursos previstos por la ley nacional 25054 -Ley del Bombero Voluntario-.","Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con transferencias nacionales para bomberos voluntarios. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.",Seguridad,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-29-fondos-bomberos-voluntarios,Reclaman las transferencias nacionales adeudadas a bomberos voluntarios,"La resolución solicita regularizar los fondos destinados a asociaciones de bomberos voluntarios, fundamentales para la respuesta ante emergencias en la provincia.",/assets/uploads/project-news/2026-04-29-19881-fondos-bomberos.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19881/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19881.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19882,19882,2026-04-29,Proyecto de Declaración,Homenaje póstumo al doctor Ernesto Walter Grosse,"De profundo pesar por el fallecimiento del Dr. Ernesto Walter Grosse y reconocimiento a su destacada trayectoria y valiosos aportes a la cultura, la educación y la historia de la ciudad de Goya.","Declara de interés legislativo homenaje póstumo al doctor Ernesto Walter Grosse. La iniciativa reconoce su relevancia social, cultural, educativa o comunitaria para la provincia y promueve su difusión institucional, de acuerdo con los antecedentes incorporados en el expediente.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-29-homenaje-ernesto-walter-grosse,Proponen un homenaje póstumo al doctor Ernesto Walter Grosse,"La declaración busca reconocer su trayectoria profesional y sus aportes a la historia, la educación y la cultura de la ciudad de Goya y de Corrientes.",/assets/uploads/project-news/2026-04-29-19882-homenaje-ernesto-grosse.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19882/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19882.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
EXP-19883,19883,2026-04-29,Proyecto de Resolución,Protocolos escolares ante amenazas y hechos de violencia,"Solicita al Poder Ejecutivo que, por intermedio del Ministerio de Educación, informe sobre protocolos vigentes de prevención y actuación ante amenazas, sospecha o detección de armas y manifestaciones de violencia digital, en establecimientos educativos.","Solicita al Poder Ejecutivo provincial información oficial sobre protocolos escolares ante amenazas y hechos de violencia. El pedido busca conocer la situación actual, las medidas adoptadas y las acciones previstas por los organismos competentes, conforme a los puntos desarrollados en el expediente.",Educación,propio,Cecilia Gortari; Emiliano Fernández; Gustavo Canteros,false,,2026-04-29-protocolos-seguridad-escolar,Solicitan protocolos escolares ante amenazas y hechos de violencia,"El proyecto pide pautas claras de prevención, actuación y coordinación institucional para proteger a las comunidades educativas frente a situaciones de riesgo.",/assets/uploads/project-news/2026-04-29-19883-protocolos-seguridad-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,https://hcdcorrientes.gov.ar/expedientes/19883/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19883.pdf,contenido_e_imagen_validados,cargado_en_fuente,Publicación nueva cargada en la fuente del sitio.
