expediente,id_noticia,titulo,bajada,fecha_publicacion,url_noticia,estado,url_proyecto,url_expediente,imagen,fuente_imagen,palabras
19669,2026-03-11-asistencia-trabajadores-al-goya,Impulsan una asistencia transitoria para trabajadores despedidos de Alal,Cecilia Gortari y legisladores del bloque propusieron un apoyo económico temporal para las personas cesanteadas de la firma textil en Goya y sus familias.,2026-03-11T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-03-11-asistencia-trabajadores-al-goya,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19669/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19669.pdf,/assets/uploads/project-news/2026-03-11-19669-asistencia-trabajadores-alal.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,281
19789,2026-04-08-incentivo-docente-provincial,Proponen crear una asignación provincial de incentivo docente,La iniciativa plantea un complemento salarial provincial para sostener el ingreso de las y los docentes y reconocer su tarea en el sistema educativo correntino.,2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-08-incentivo-docente-provincial,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19789/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19789.pdf,/assets/uploads/project-news/2026-04-08-19789-incentivo-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,256
19793,2026-04-08-antecedentes-meritorios-docentes,Buscan reconocer antecedentes meritorios en la valoración docente,"La propuesta incorpora tareas pedagógicas, científicas, culturales y comunitarias al régimen de valoración, incluido el acompañamiento de cooperativas escolares.",2026-04-08T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-08-antecedentes-meritorios-docentes,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19793/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19793-1.pdf,/assets/uploads/project-news/2026-04-08-19793-valoracion-docente.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,259
19831,2026-04-15-lotes-servicios-goya,Solicitan dar continuidad al programa de lotes con servicios en Goya,"El proyecto pide medidas para sostener una política de acceso al suelo urbano con infraestructura básica, destinada a familias de la ciudad de Goya.",2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-lotes-servicios-goya,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19831/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19831-1.pdf,/assets/uploads/project-news/2026-04-15-19831-lotes-servicios-goya.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,257
19832,2026-04-15-transparencia-carteles-obra-publica,Proponen más transparencia en los carteles de obra pública,"La iniciativa establece información mínima y accesible en la cartelería de obras provinciales para que la ciudadanía conozca plazos, responsables y presupuesto.",2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-transparencia-carteles-obra-publica,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19832/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19832-1.pdf,/assets/uploads/project-news/2026-04-15-19832-carteles-obra-publica.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,262
19833,2026-04-15-estudio-ruta-27-unne,Impulsan un estudio integral para mejorar la seguridad de la Ruta 27,La declaración reconoce un trabajo final de Ingeniería Civil de la UNNE que analiza alternativas de rehabilitación para el tramo Santa Lucía–Goya.,2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-estudio-ruta-27-unne,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19833/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19833.pdf,/assets/uploads/project-news/2026-04-15-19833-estudio-seguridad-ruta-27.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,257
19834,2026-04-15-proyecto-cultural-mendoza,Proponen reconocer el aporte comunitario del Proyecto Cultural Mendoza,"La declaración busca destacar una revista mensual dedicada a difundir la historia, la literatura y el patrimonio cultural de la provincia de Corrientes.",2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-proyecto-cultural-mendoza,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19834/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19834.pdf,/assets/uploads/project-news/2026-04-15-19834-proyecto-cultural-mendoza.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,254
19835,2026-04-15-homenaje-roque-zabala,Proponen homenajear al veterano de Malvinas Roque Zabala,La iniciativa expresa el pesar por su fallecimiento y reconoce una trayectoria dedicada a la memoria de Malvinas y a los derechos de los excombatientes.,2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-homenaje-roque-zabala,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19835/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19835.pdf,/assets/uploads/project-news/2026-04-15-19835-homenaje-roque-zabala.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
19840,2026-04-15-informe-fondos-escuelas,Piden informes sobre fondos destinados a infraestructura escolar,La resolución solicita precisiones sobre la asignación y ejecución de recursos previstos para reparaciones y mejoras en establecimientos educativos provinciales.,2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-15-informe-fondos-escuelas,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19840/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19840-1.pdf,/assets/uploads/project-news/2026-04-15-19840-fondos-infraestructura-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
19841,2026-04-13-reforma-integral-ioscor-proyecto-diputados,Cecilia Gortari impulsa una reforma integral del IOSCOR,"El proyecto propone modernizar la obra social provincial, fortalecer su transparencia y ampliar herramientas de protección para afiliados y prestadores.",2026-04-15T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-13-reforma-integral-ioscor-proyecto-diputados,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19841/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19841.pdf,/assets/uploads/project-news/2026-04-15-19841-reforma-ioscor.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
19881,2026-04-29-fondos-bomberos-voluntarios,Reclaman las transferencias nacionales adeudadas a bomberos voluntarios,"La resolución solicita regularizar los fondos destinados a asociaciones de bomberos voluntarios, fundamentales para la respuesta ante emergencias en la provincia.",2026-04-29T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-29-fondos-bomberos-voluntarios,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19881/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19881.pdf,/assets/uploads/project-news/2026-04-29-19881-fondos-bomberos.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,250
19882,2026-04-29-homenaje-ernesto-walter-grosse,Proponen un homenaje póstumo al doctor Ernesto Walter Grosse,"La declaración busca reconocer su trayectoria profesional y sus aportes a la historia, la educación y la cultura de la ciudad de Goya y de Corrientes.",2026-04-29T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-29-homenaje-ernesto-walter-grosse,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19882/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19882.pdf,/assets/uploads/project-news/2026-04-29-19882-homenaje-ernesto-grosse.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
19883,2026-04-29-protocolos-seguridad-escolar,Solicitan protocolos escolares ante amenazas y hechos de violencia,"El proyecto pide pautas claras de prevención, actuación y coordinación institucional para proteger a las comunidades educativas frente a situaciones de riesgo.",2026-04-29T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-29-protocolos-seguridad-escolar,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19883/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19883.pdf,/assets/uploads/project-news/2026-04-29-19883-protocolos-seguridad-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,250
19884,2026-04-29-seguridad-puente-paso-lopez,Piden medidas de seguridad vial para el puente Paso López,La resolución solicita una inspección técnica y acciones preventivas ante signos de erosión en una cabecera del puente sobre el río Corriente.,2026-04-29T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-04-29-seguridad-puente-paso-lopez,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19884/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/04/Expte-19884.pdf,/assets/uploads/project-news/2026-04-29-19884-puente-paso-lopez.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,256
19931,2026-05-06-deporte-inclusivo-adaptado,Proponen un programa provincial de deporte inclusivo y adaptado,"La iniciativa crea herramientas para ampliar la participación deportiva de personas con discapacidad y acompañar a instituciones, atletas y familias.",2026-05-06T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-06-deporte-inclusivo-adaptado,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19931/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19931.pdf,/assets/uploads/project-news/2026-05-06-19931-deporte-inclusivo.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,250
19966,2026-05-13-alivio-electrico-productores,Solicitan alivio eléctrico para productores hortícolas y tabacaleros,"La resolución propone un régimen excepcional y transitorio para pequeños productores de Goya, Lavalle y zonas de influencia que atraviesen una situación crítica.",2026-05-13T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-13-alivio-electrico-productores,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19966/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19966.pdf,/assets/uploads/project-news/2026-05-13-19966-alivio-electrico-productores.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,254
19967,2026-05-13-accesibilidad-palacio-legislativo,Impulsan accesibilidad universal en el Palacio Legislativo,El proyecto solicita soluciones seguras y permanentes para que personas con discapacidad o movilidad reducida puedan ingresar al edificio sin barreras.,2026-05-13T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-13-accesibilidad-palacio-legislativo,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19967/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19967.pdf,/assets/uploads/project-news/2026-05-13-19967-accesibilidad-legislatura.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,256
19972,2026-05-13-cobertura-sanitaria-rural,Proponen un sistema provincial de cobertura sanitaria rural,"La iniciativa organiza una red de atención, prevención, medicamentos, comunicación y traslados para habitantes de parajes y zonas rurales de Corrientes.",2026-05-13T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-13-cobertura-sanitaria-rural,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19972/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19972.pdf,/assets/uploads/project-news/2026-05-13-19972-salud-rural.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,261
19981,2026-05-13-marcha-federal-universitaria,Impulsan la adhesión legislativa a la Marcha Federal Universitaria,El proyecto de declaración expresa acompañamiento institucional a la movilización en defensa de la universidad pública y su financiamiento en el país.,2026-05-13T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-13-marcha-federal-universitaria,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/19981/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19981.pdf,/assets/uploads/project-news/2026-05-13-19981-marcha-universitaria.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,251
20017,2026-05-27-conectividad-digital-rural,Piden ampliar la conectividad digital en zonas rurales y periurbanas,La resolución solicita acciones nacionales para mejorar internet y telefonía móvil en localidades y parajes correntinos con cobertura insuficiente.,2026-05-27T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-05-27-conectividad-digital-rural,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20017/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20017.pdf,/assets/uploads/project-news/2026-05-27-20017-conectividad-rural.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,253
20045,2026-06-03-caminos-rurales,Presentaron un régimen integral para fortalecer los caminos rurales,"El proyecto de ley ordena la planificación, conservación y mejora de la red rural, con participación de Vialidad, municipios y consorcios camineros.",2026-06-03T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-06-03-caminos-rurales,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20045/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20045.pdf,/assets/uploads/project-news/2026-06-03-20045-caminos-rurales.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,255
20046,2026-06-03-empleo-emprendimiento-joven,"Impulsan empleo, capacitación y emprendimientos para jóvenes correntinos","La iniciativa crea un régimen provincial con formación certificada, prácticas protegidas, incentivos a la contratación y apoyo para proyectos productivos.",2026-06-03T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-06-03-empleo-emprendimiento-joven,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20046/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20046.pdf,/assets/uploads/project-news/2026-06-03-20046-empleo-joven.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,255
20051,2026-06-03-emergencia-alimentaria-escolar,Impulsan una emergencia alimentaria para proteger los comedores escolares,"El proyecto establece medidas extraordinarias de continuidad, calidad, inocuidad y control para las prestaciones alimentarias de escuelas estatales.",2026-06-03T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-06-03-emergencia-alimentaria-escolar,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20051/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20051.pdf,/assets/uploads/project-news/2026-06-03-20051-emergencia-alimentaria-escolar.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,266
20074,2026-06-17-abogado-del-nino,Proponen crear la figura del Abogado del Niño en Corrientes,"La iniciativa regula el patrocinio jurídico especializado de niñas, niños y adolescentes en procedimientos judiciales o administrativos que los afecten.",2026-06-17T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-06-17-abogado-del-nino,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20074/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20074.pdf,/assets/uploads/project-news/2026-06-17-20074-abogado-del-nino.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,261
20075,2026-06-17-transparencia-ofertas-educativas,Buscan garantizar mayor transparencia en las ofertas educativas,"El proyecto crea un registro público para verificar la validez oficial de carreras, tecnicaturas, certificaciones y otras propuestas formativas.",2026-06-17T12:00:00.000-03:00,https://www.ceciliagortari.com.ar/novedades/detalle/?id=2026-06-17-transparencia-ofertas-educativas,publicado_verificado,https://hcdcorrientes.gov.ar/expedientes/20075/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20075.pdf,/assets/uploads/project-news/2026-06-17-20075-transparencia-ofertas-educativas.webp,Cecilia Gortari | Equipo editorial | Composición original para el sitio,263
