numero_expediente,fecha_presentacion,sesion,tipo,titulo_oficial,titulo_publico_propuesto,resumen_propuesto,comision_principal,comisiones_secundarias,area_tematica,autoria,responsable,estado_preparacion,estado_tramite,existe_en_panel,id_actual,id_destino,tiene_docx,tiene_expediente_pdf,url_fuente_oficial,url_pdf_oficial,nombre_pdf,accion_requerida,observaciones,estado_de_verificacion
19939,2026-05-06,6ª Reunión | 6ª Sesión Ordinaria,Ley,"Régimen Provincial de Internación Domiciliaria, Cuidados Paliativos y Salud Digital.","Régimen Provincial de Internación Domiciliaria, Cuidados Paliativos y Salud Digital","Propone régimen Provincial de Internación Domiciliaria, Cuidados Paliativos y Salud Digital. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud Pública,"Hacienda, Presupuesto E Impuestos",Salud,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19939,False,False,https://hcdcorrientes.gov.ar/expedientes/19939/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19939.pdf,EXPTE-19939-LEY-regimen-provincial-de-internacion-domiciliaria-cuidados-paliativos-y-s.pdf,crear,,verificado_fuente_y_pdf_oficial
19970,2026-05-13,7ª Reunión | 7ª Sesión Ordinaria,Ley,Establece el marco regulatorio para Pequeñas Unidades Productivas de Alimentos Artesanales (PUPAAs).,Marco regulatorio para alimentos artesanales,"Propone marco regulatorio para alimentos artesanales. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Asuntos Constitucionales Y Legislación General,"Producción, Industria, Comercio Y Turismo",Transparencia institucional,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-19970,False,False,https://hcdcorrientes.gov.ar/expedientes/19970/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19970.pdf,EXPTE-19970-LEY-establece-el-marco-regulatorio-para-pequenas-unidades-productivas-de-a.pdf,crear,,verificado_fuente_y_pdf_oficial
19972,2026-05-13,7ª Reunión | 7ª Sesión Ordinaria,Ley,Sistema Provincial de Cobertura Sanitaria Rural.,Sistema Provincial de Cobertura Sanitaria Rural,"Propone sistema Provincial de Cobertura Sanitaria Rural. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud Pública,"Hacienda, Presupuesto E Impuestos",Salud,coautoria,Gonzalo,Presentado,En comisiones,True,P-0068,EXP-19972,True,False,https://hcdcorrientes.gov.ar/expedientes/19972/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-19972.pdf,EXPTE-19972-LEY-sistema-provincial-de-cobertura-sanitaria-rural.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20037,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,"Plan Integral de Tenencia Responsable y Sanidad de Animales Domésticos, Comunitarios y de Trabajo.",Plan Integral de Tenencia Responsable y Sanidad de Animales Domésticos,"Propone plan Integral de Tenencia Responsable y Sanidad de Animales Domésticos. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Asuntos Constitucionales Y Legislación General,,Trabajo,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20037,False,False,https://hcdcorrientes.gov.ar/expedientes/20037/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20037.pdf,EXPTE-20037-LEY-plan-integral-de-tenencia-responsable-y-sanidad-de-animales-domesticos.pdf,crear,,verificado_fuente_y_pdf_oficial
20038,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,Modifica la ley 6082 -Régimen de Sponsorización y Tutoría del Deporte-.,Modificación de la Ley 6082 -Régimen de Sponsorización y Tutoría del Deporte,"Propone modificación de la Ley 6082 -Régimen de Sponsorización y Tutoría del Deporte. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Deportes,Asuntos Constitucionales Y Legislación General,Deportes,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20038,False,False,https://hcdcorrientes.gov.ar/expedientes/20038/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20038.pdf,EXPTE-20038-LEY-modifica-la-ley-6082-regimen-de-sponsorizacion-y-tutoria-del-deporte.pdf,crear,,verificado_fuente_y_pdf_oficial
20045,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,"Régimen Provincial de Gestión Integral, Conservación, Mejoramiento y Fortalecimiento de Caminos Rurales y Consorcios Camineros.",Gestión y fortalecimiento de caminos rurales,"Propone gestión y fortalecimiento de caminos rurales. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,coautoria,Gonzalo,Presentado,En comisiones,True,P-0072,EXP-20045,True,False,https://hcdcorrientes.gov.ar/expedientes/20045/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20045.pdf,EXPTE-20045-LEY-regimen-provincial-de-gestion-integral-conservacion-mejoramiento-y-for.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20046,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,"Ley de Acompañamiento al Empleo, la Formación y el Emprendedurismo Joven.",Acompañamiento al empleo y emprendedurismo joven,"Propone acompañamiento al empleo y emprendedurismo joven. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Legislación Del Trabajo, Previsión Y Seguridad Social",,Seguridad,coautoria,Gonzalo,Presentado,En comisiones,True,P-0078,EXP-20046,True,False,https://hcdcorrientes.gov.ar/expedientes/20046/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20046.pdf,EXPTE-20046-LEY-ley-de-acompanamiento-al-empleo-la-formacion-y-el-emprendedurismo-jove.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20047,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,Ley Provincial de Prevención y Abordaje de la Violencia Digital por Motivos de Género.,Prevención de la violencia digital por motivos de género,"Propone prevención de la violencia digital por motivos de género. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Derechos Humanos, Género Y Diversidad",,Derechos Humanos,acompanado,Gonzalo,Presentado,En comisiones,True,P-0080,EXP-20047,True,False,https://hcdcorrientes.gov.ar/expedientes/20047/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20047.pdf,EXPTE-20047-LEY-ley-provincial-de-prevencion-y-abordaje-de-la-violencia-digital-por-mo.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20051,2026-06-03,9ª Reunión | 9ª Sesión Ordinaria,Ley,Ley de Emergencia Alimentaria Escolar.,Emergencia alimentaria escolar,"Propone emergencia alimentaria escolar. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Educación, Cultura, Ciencia Y Tecnología",,Niñez y Adolescencia,coautoria,Gonzalo,Presentado,En comisiones,True,P-0075,EXP-20051,True,False,https://hcdcorrientes.gov.ar/expedientes/20051/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/05/Expte-20051.pdf,EXPTE-20051-LEY-ley-de-emergencia-alimentaria-escolar.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20072,2026-06-17,10ª Reunión | 10ª Sesión Ordinaria,Ley,"Crea el Programa Provincial de Capacitación Docente Asincrónica, Virtual y Gratuita.","Capacitación docente virtual, asincrónica y gratuita","Propone capacitación docente virtual, asincrónica y gratuita. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20072,False,False,https://hcdcorrientes.gov.ar/expedientes/20072/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20072.pdf,EXPTE-20072-LEY-crea-el-programa-provincial-de-capacitacion-docente-asincronica-virtua.pdf,crear,,verificado_fuente_y_pdf_oficial
20074,2026-06-17,10ª Reunión | 10ª Sesión Ordinaria,Ley,"Creación e Implementación de la Figura del Abogado del Niño, Niña y Adolescente en la Provincia de Corrientes.",Abogado del Niño,"Propone abogado del Niño. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Asuntos Constitucionales Y Legislación General,,Niñez y Adolescencia,coautoria,Gonzalo,Presentado,En comisiones,True,P-0073,EXP-20074,True,False,https://hcdcorrientes.gov.ar/expedientes/20074/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20074.pdf,EXPTE-20074-LEY-creacion-e-implementacion-de-la-figura-del-abogado-del-nino-nina-y-ado.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20075,2026-06-17,10ª Reunión | 10ª Sesión Ordinaria,Ley,Régimen de Transparencia de Ofertas Educativas.,Transparencia de ofertas educativas,"Propone transparencia de ofertas educativas. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Educación, Cultura, Ciencia Y Tecnología",,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0081,EXP-20075,True,False,https://hcdcorrientes.gov.ar/expedientes/20075/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20075.pdf,EXPTE-20075-LEY-regimen-de-transparencia-de-ofertas-educativas.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
20114,2026-06-17,10ª Reunión | 10ª Sesión Ordinaria,Ley,"Designa con el nombre de “Marcos Aurelio Moncada” al tramo de la Ruta Provincial N° 15 comprendido entre su intersección con la RN N° 12 y su intersección con la RP N° 13, en la localidad de Berón de Astrada.",Denominación “Marcos Aurelio Moncada” al tramo de la Ruta Provincial N° 15,"Propone denominación “Marcos Aurelio Moncada” al tramo de la Ruta Provincial N° 15. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.","Educación, Cultura, Ciencia Y Tecnología",,Educación,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20114,False,False,https://hcdcorrientes.gov.ar/expedientes/20114/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20114.pdf,EXPTE-20114-LEY-designa-con-el-nombre-de-marcos-aurelio-moncada-al-tramo-de-la-ruta-pr.pdf,crear,,verificado_fuente_y_pdf_oficial
20115,2026-06-17,10ª Reunión | 10ª Sesión Ordinaria,Ley,"Establece que la atención primaria de la salud visual de la población en la Provincia de Corrientes sea desempeñada exclusivamente por médicos especialistas en Oftalmología, debidamente matriculados y habilitados.",Atención primaria de salud visual por médicos oftalmólogos,"Propone atención primaria de salud visual por médicos oftalmólogos. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Salud Pública,,Salud,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20115,False,False,https://hcdcorrientes.gov.ar/expedientes/20115/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/06/Expte-20115.pdf,EXPTE-20115-LEY-establece-que-la-atencion-primaria-de-la-salud-visual-de-la-poblacion.pdf,crear,,verificado_fuente_y_pdf_oficial
20154,2026-07-08,11ª Reunión | 11ª Sesión Ordinaria,Ley,Regula el uso de la fuerza pública y el empleo de armas de fuego por el personal de la Policía de la Provincia de Corrientes.,Regulación del uso de la fuerza y armas de fuego policiales,"Propone regulación del uso de la fuerza y armas de fuego policiales. La iniciativa establece un marco provincial para ordenar su aplicación, definir responsabilidades y brindar una respuesta institucional al problema abordado en el expediente. Sus mecanismos y alcances se encuentran desarrollados en el texto oficial.",Seguridad Y Servicios Penitenciarios,Asuntos Constitucionales Y Legislación General,Seguridad,acompanado,Gonzalo,Presentado,En comisiones,False,,EXP-20154,False,False,https://hcdcorrientes.gov.ar/expedientes/20154/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/07/Expte-20154.pdf,EXPTE-20154-LEY-regula-el-uso-de-la-fuerza-publica-y-el-empleo-de-armas-de-fuego-por-e.pdf,crear,,verificado_fuente_y_pdf_oficial
19675,2026-03-11,1ª Reunión | 1ª Sesión Ordinaria,Resolución,Solicita al Poder Ejecutivo que garantice las condiciones de necesarias para el correcto funcionamiento del ciclo lectivo 2026 en establecimientos educativos públicos rurales de Goya,Condiciones edilicias en escuelas rurales de Goya,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con condiciones edilicias en escuelas rurales de Goya. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Educación, Cultura, Ciencia Y Tecnología",,Educación,coautoria,Gonzalo,Presentado,En comisiones,True,P-0016,EXP-19675,True,True,https://hcdcorrientes.gov.ar/expedientes/19675/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19675.pdf,EXPTE-19675-RESOLUCION-solicita-al-poder-ejecutivo-que-garantice-las-condiciones-de-necesaria.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
19676,2026-03-11,1ª Reunión | 1ª Sesión Ordinaria,Resolución,"Solicita al Poder Ejecutivo que realice las gestiones necesarias para el llamado a licitación, adjudicación y ejecución de la obra de duplicación de calzada de la ruta nacional 14, en el tramo comprendido entre la ciudad de Paso de los Libres y la ciudad de Posadas (Misiones).",Autovía de la Ruta Nacional 14 entre Paso de los Libres y Posadas,"Solicita al Poder Ejecutivo provincial que impulse medidas vinculadas con autovía de la Ruta Nacional 14 entre Paso de los Libres y Posadas. La iniciativa procura atender la situación descripta en el expediente mediante la intervención de los organismos competentes y las acciones técnicas, administrativas o presupuestarias que correspondan.","Energía, Transporte, Obras Y Servicios Públicos",,Infraestructura,acompanado,Gonzalo,Presentado,En comisiones,True,P-0024,EXP-19676,False,True,https://hcdcorrientes.gov.ar/expedientes/19676/,https://hcdcorrientes.gov.ar/wp-content/uploads/2026/03/Expte-19676-1.pdf,EXPTE-19676-RESOLUCION-solicita-al-poder-ejecutivo-que-realice-las-gestiones-necesarias-para.pdf,actualizar_y_migrar,,verificado_fuente_y_pdf_oficial
